




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (702)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of molecular function (GO:0065009)	3094	166	105.49	+	1.57	3.71E-09	5.59E-07
positive regulation of molecular function (GO:0044093)	1590	85	54.21	+	1.57	6.12E-05	2.68E-03
cytoskeleton organization (GO:0007010)	1240	66	42.28	+	1.56	5.47E-04	1.74E-02
positive regulation of response to stimulus (GO:0048584)	2223	118	75.80	+	1.56	2.72E-06	1.82E-04
regulation of phosphorylation (GO:0042325)	1248	66	42.55	+	1.55	7.53E-04	2.24E-02
establishment of protein localization (GO:0045184)	1267	67	43.20	+	1.55	6.17E-04	1.91E-02
positive regulation of multicellular organismal process (GO:0051240)	1515	80	51.66	+	1.55	1.84E-04	6.95E-03
regulation of phosphate metabolic process (GO:0019220)	1404	74	47.87	+	1.55	3.58E-04	1.20E-02
regulation of phosphorus metabolic process (GO:0051174)	1405	74	47.90	+	1.54	3.60E-04	1.20E-02
cellular metabolic process (GO:0044237)	6606	343	225.24	+	1.52	1.44E-19	1.13E-16
positive regulation of cellular process (GO:0048522)	5670	294	193.32	+	1.52	1.12E-15	5.16E-13
nitrogen compound transport (GO:0071705)	1589	82	54.18	+	1.51	2.62E-04	9.28E-03
cellular component organization or biogenesis (GO:0071840)	5727	295	195.27	+	1.51	2.67E-15	1.20E-12
macromolecule metabolic process (GO:0043170)	5941	306	202.56	+	1.51	4.67E-16	2.36E-13
regulation of multicellular organismal development (GO:2000026)	1383	71	47.15	+	1.51	1.01E-03	2.85E-02
positive regulation of cell communication (GO:0010647)	1696	87	57.83	+	1.50	2.25E-04	8.19E-03
positive regulation of signaling (GO:0023056)	1701	87	58.00	+	1.50	2.32E-04	8.41E-03
cellular macromolecule localization (GO:0070727)	1925	98	65.63	+	1.49	1.05E-04	4.33E-03
regulation of signal transduction (GO:0009966)	2989	152	101.91	+	1.49	5.80E-07	4.67E-05
positive regulation of biological process (GO:0048518)	6304	320	214.94	+	1.49	3.61E-16	1.95E-13
regulation of signaling (GO:0023051)	3381	171	115.28	+	1.48	1.31E-07	1.29E-05
regulation of response to stimulus (GO:0048583)	4034	204	137.54	+	1.48	3.72E-09	5.56E-07
protein localization (GO:0008104)	1919	97	65.43	+	1.48	1.37E-04	5.36E-03
nitrogen compound metabolic process (GO:0006807)	6710	338	228.78	+	1.48	5.05E-17	3.05E-14
localization (GO:0051179)	4566	230	155.68	+	1.48	2.47E-10	4.66E-08
positive regulation of macromolecule metabolic process (GO:0010604)	3542	178	120.77	+	1.47	9.68E-08	9.73E-06
regulation of cell communication (GO:0010646)	3369	169	114.87	+	1.47	2.90E-07	2.53E-05
positive regulation of metabolic process (GO:0009893)	3858	193	131.54	+	1.47	2.82E-08	3.30E-06
negative regulation of response to stimulus (GO:0048585)	1620	81	55.24	+	1.47	8.35E-04	2.44E-02
cellular component organization (GO:0016043)	5523	276	188.31	+	1.47	2.06E-12	7.02E-10
regulation of localization (GO:0032879)	2104	105	71.74	+	1.46	1.17E-04	4.70E-03
macromolecule localization (GO:0033036)	2345	117	79.95	+	1.46	4.21E-05	1.95E-03
negative regulation of macromolecule metabolic process (GO:0010605)	2764	137	94.24	+	1.45	1.17E-05	6.61E-04
nucleobase-containing compound metabolic process (GO:0006139)	2825	140	96.32	+	1.45	8.45E-06	4.89E-04
negative regulation of metabolic process (GO:0009892)	2988	148	101.88	+	1.45	3.86E-06	2.51E-04
establishment of localization (GO:0051234)	3997	197	136.28	+	1.45	5.68E-08	6.27E-06
negative regulation of nitrogen compound metabolic process (GO:0051172)	2409	118	82.14	+	1.44	8.51E-05	3.60E-03
primary metabolic process (GO:0044238)	7228	353	246.44	+	1.43	6.68E-16	3.27E-13
metabolic process (GO:0008152)	8131	395	277.23	+	1.42	1.29E-18	9.20E-16
nucleic acid metabolic process (GO:0090304)	2276	110	77.60	+	1.42	2.53E-04	9.11E-03
response to chemical (GO:0042221)	4060	196	138.43	+	1.42	3.24E-07	2.81E-05
organic substance metabolic process (GO:0071704)	7697	371	262.44	+	1.41	3.14E-16	1.76E-13
negative regulation of cellular process (GO:0048523)	4732	227	161.34	+	1.41	2.67E-08	3.17E-06
cellular aromatic compound metabolic process (GO:0006725)	3050	146	103.99	+	1.40	2.66E-05	1.35E-03
response to external stimulus (GO:0009605)	2469	118	84.18	+	1.40	2.58E-04	9.20E-03
negative regulation of cellular metabolic process (GO:0031324)	2264	108	77.19	+	1.40	4.90E-04	1.57E-02
heterocycle metabolic process (GO:0046483)	2999	143	102.25	+	1.40	4.65E-05	2.13E-03
negative regulation of biological process (GO:0048519)	5314	251	181.19	+	1.39	1.18E-08	1.54E-06
organic cyclic compound metabolic process (GO:1901360)	3292	154	112.24	+	1.37	5.70E-05	2.54E-03
positive regulation of nitrogen compound metabolic process (GO:0051173)	3174	148	108.22	+	1.37	8.75E-05	3.69E-03
regulation of multicellular organismal process (GO:0051239)	2750	127	93.76	+	1.35	4.88E-04	1.57E-02
regulation of biological quality (GO:0065008)	3677	167	125.37	+	1.33	9.69E-05	4.05E-03
transport (GO:0006810)	3840	174	130.93	+	1.33	8.29E-05	3.52E-03
animal organ development (GO:0048513)	3254	147	110.95	+	1.32	4.34E-04	1.42E-02
response to stimulus (GO:0050896)	8209	370	279.89	+	1.32	1.76E-11	4.26E-09
cellular response to stimulus (GO:0051716)	6569	296	223.98	+	1.32	2.12E-08	2.56E-06
regulation of metabolic process (GO:0019222)	6754	304	230.28	+	1.32	1.29E-08	1.66E-06
system development (GO:0048731)	3838	168	130.86	+	1.28	5.79E-04	1.83E-02
regulation of macromolecule metabolic process (GO:0060255)	6214	272	211.87	+	1.28	2.30E-06	1.56E-04
regulation of primary metabolic process (GO:0080090)	5872	255	200.21	+	1.27	1.20E-05	6.75E-04
regulation of nitrogen compound metabolic process (GO:0051171)	5709	242	194.65	+	1.24	1.37E-04	5.35E-03
cellular process (GO:0009987)	15044	637	512.94	+	1.24	1.38E-30	2.41E-27
multicellular organism development (GO:0007275)	4228	179	144.16	+	1.24	1.76E-03	4.48E-02
regulation of gene expression (GO:0010468)	4855	203	165.54	+	1.23	1.35E-03	3.59E-02
signal transduction (GO:0007165)	4887	204	166.63	+	1.22	1.39E-03	3.67E-02
regulation of cellular process (GO:0050794)	11187	464	381.43	+	1.22	5.86E-10	1.04E-07
regulation of biological process (GO:0050789)	11806	474	402.54	+	1.18	6.12E-08	6.62E-06
biological regulation (GO:0065007)	12544	502	427.70	+	1.17	9.83E-09	1.34E-06
biological_process (GO:0008150)	17864	676	609.09	+	1.11	3.31E-17	2.16E-14
nervous system process (GO:0050877)	1465	28	49.95	-	.56	8.93E-04	2.59E-02
sensory perception (GO:0007600)	997	12	33.99	-	.35	2.66E-05	1.35E-03
Unclassified (UNCLASSIFIED)	2725	26	92.91	-	.28	3.31E-17	2.08E-14
detection of chemical stimulus (GO:0009593)	526	3	17.93	-	.17	3.53E-05	1.69E-03
detection of stimulus involved in sensory perception (GO:0050906)	560	3	19.09	-	.16	1.22E-05	6.79E-04
detection of chemical stimulus involved in sensory perception (GO:0050907)	489	1	16.67	-	.06	2.18E-06	1.49E-04
sensory perception of chemical stimulus (GO:0007606)	551	1	18.79	-	.05	3.34E-07	2.87E-05
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	0	15.10	-	 < 0.01	5.52E-07	4.48E-05
sensory perception of smell (GO:0007608)	470	0	16.03	-	 < 0.01	2.60E-07	2.33E-05
